"model_ID","dataset_ref","experiment","doi","atlas"
"ACCESS-CM2","ssp5_8_5/ACCESS-CM2","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4332",1
"CESM2","ssp5_8_5/CESM2","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.7768",1
"CIESM","ssp5_8_5/CIESM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.8863",0
"CMCC-CM2-SR5","ssp5_8_5/CMCC-CM2-SR5","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.3896",1
"CMCC-ESM2","ssp5_8_5/CMCC-ESM2","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.13259",0
"CNRM-CM6-1","ssp5_8_5/CNRM-CM6-1","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4224",1
"CNRM-CM6-1-HR","ssp5_8_5/CNRM-CM6-1-HR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4225",1
"CNRM-ESM2-1","ssp5_8_5/CNRM-ESM2-1","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4226",1
"CANESM5-CANOE","ssp5_8_5/CANESM5-CANOE","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.10276",0
"EC-EARTH3-CC","ssp5_8_5/EC-EARTH3-CC","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.15636",0
"EC-EARTH3-VEG-LR","ssp5_8_5/EC-EARTH3-VEG-LR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4915",0
"FIO-ESM-2-0","ssp5_8_5/FIO-ESM-2-0","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.9214",0
"KIOST-ESM","ssp5_8_5/KIOST-ESM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.11249",1
"MCM-UA-1-0","ssp5_8_5/MCM-UA-1-0","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.13901",0
"MIROC-ES2L","ssp5_8_5/MIROC-ES2L","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.5770",1
"MIROC6","ssp5_8_5/MIROC6","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.5771",1
"MPI-ESM1-2-LR","ssp5_8_5/MPI-ESM1-2-LR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.6705",1
"MRI-ESM2-0","ssp5_8_5/MRI-ESM2-0","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.6929",1
"NORESM2-LM","ssp5_8_5/NORESM2-LM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.8319",1
"NORESM2-MM","ssp5_8_5/NORESM2-MM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.8321",1
"ACCESS-CM2","ssp3_7_0/ACCESS-CM2","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4323",1
"AWI-CM-1-1-MR","ssp3_7_0/AWI-CM-1-1-MR","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.2803",1
"CESM2","ssp3_7_0/CESM2","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.7753",1
"CESM2-WACCM","ssp3_7_0/CESM2-WACCM","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.10102",1
"CMCC-CM2-SR5","ssp3_7_0/CMCC-CM2-SR5","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.3890",1
"CANESM5","ssp3_7_0/CANESM5","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.3690",1
"CANESM5-CANOE","ssp3_7_0/CANESM5-CANOE","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.10271",0
"EC-EARTH3-AERCHEM","ssp3_7_0/EC-EARTH3-AERCHEM","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4889",0
"FGOALS-G3","ssp3_7_0/FGOALS-G3","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.3480",1
"GFDL-ESM4","ssp3_7_0/GFDL-ESM4","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.8691",1
"INM-CM4-8","ssp3_7_0/INM-CM4-8","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.12329",1
"INM-CM5-0","ssp3_7_0/INM-CM5-0","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.12330",1
"MIROC-ES2L","ssp3_7_0/MIROC-ES2L","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.5751",1
"MIROC6","ssp3_7_0/MIROC6","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.5752",1
"MPI-ESM-1-2-HAM","ssp3_7_0/MPI-ESM-1-2-HAM","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.5040",0
"MPI-ESM1-2-LR","ssp3_7_0/MPI-ESM1-2-LR","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.6695",1
"MRI-ESM2-0","ssp3_7_0/MRI-ESM2-0","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.6915",1
"TAIESM1","ssp3_7_0/TAIESM1","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.9809",0
"MCM-UA-1-0","ssp3_7_0/MCM-UA-1-0","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.13897",0
"NORESM2-LM","ssp3_7_0/NORESM2-LM","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.8268",1
"NORESM2-MM","ssp3_7_0/NORESM2-MM","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.8270",1
"CNRM-CM6-1","ssp3_7_0/CNRM-CM6-1","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4197",1
"CNRM-ESM2-1","ssp3_7_0/CNRM-ESM2-1","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4199",1
"EC-EARTH3-VEG","ssp3_7_0/EC-EARTH3-VEG","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4886",1
"EC-EARTH3-VEG-LR","ssp3_7_0/EC-EARTH3-VEG-LR","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4887",0
"IPSL-CM5A2-INCA","ssp3_7_0/IPSL-CM5A2-INCA","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.15714",0
"IPSL-CM6A-LR","ssp3_7_0/IPSL-CM6A-LR","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.5265",1
"CNRM-CM6-1-HR","ssp3_7_0/CNRM-CM6-1-HR","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4198",1
"EC-EARTH3","ssp3_7_0/EC-EARTH3","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.4884",1
"CNRM-ESM2-1","ssp4_3_4/CNRM-ESM2-1","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.4213",0
"CANESM5","ssp4_3_4/CANESM5","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.3692",0
"MIROC6","ssp4_3_4/MIROC6","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.5764",0
"MRI-ESM2-0","ssp4_3_4/MRI-ESM2-0","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.6925",0
"CNRM-ESM2-1","ssp4_6_0/CNRM-ESM2-1","ssp4_6_0","https://doi.org/10.22033/ESGF/CMIP6.4217",0
"CANESM5","ssp4_6_0/CANESM5","ssp4_6_0","https://doi.org/10.22033/ESGF/CMIP6.3693",0
"MIROC6","ssp4_6_0/MIROC6","ssp4_6_0","https://doi.org/10.22033/ESGF/CMIP6.5766",0
"MRI-ESM2-0","ssp4_6_0/MRI-ESM2-0","ssp4_6_0","https://doi.org/10.22033/ESGF/CMIP6.6926",0
"FGOALS-G3","ssp4_3_4/FGOALS-G3","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.3493",0
"FGOALS-G3","ssp4_6_0/FGOALS-G3","ssp4_6_0","https://doi.org/10.22033/ESGF/CMIP6.3496",0
"IPSL-CM6A-LR","ssp4_3_4/IPSL-CM6A-LR","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.5267",0
"IPSL-CM6A-LR","ssp4_6_0/IPSL-CM6A-LR","ssp4_6_0","https://doi.org/10.22033/ESGF/CMIP6.5268",0
"CESM2-WACCM","ssp5_3_4os/CESM2-WACCM","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.10114",0
"CNRM-ESM2-1","ssp5_3_4os/CNRM-ESM2-1","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.4221",0
"CANESM5","ssp5_3_4os/CANESM5","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.3694",0
"MIROC-ES2L","ssp5_3_4os/MIROC-ES2L","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.5767",0
"MIROC6","ssp5_3_4os/MIROC6","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.5768",0
"MRI-ESM2-0","ssp5_3_4os/MRI-ESM2-0","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.6927",0
"FGOALS-G3","ssp5_3_4os/FGOALS-G3","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.3499",0
"IPSL-CM6A-LR","ssp5_3_4os/IPSL-CM6A-LR","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.5269",0
"AWI-CM-1-1-MR","ssp5_8_5/AWI-CM-1-1-MR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.2817",1
"CESM2-WACCM","ssp5_8_5/CESM2-WACCM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.10115",1
"CANESM5","ssp5_8_5/CANESM5","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.3696",1
"FGOALS-G3","ssp5_8_5/FGOALS-G3","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.3503",1
"INM-CM4-8","ssp5_8_5/INM-CM4-8","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.12337",1
"TAIESM1","ssp5_8_5/TAIESM1","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.9823",1
"E3SM-1-1","ssp5_8_5/E3SM-1-1","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.15179",0
"GFDL-ESM4","ssp5_8_5/GFDL-ESM4","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.8706",1
"EC-EARTH3-VEG","ssp5_8_5/EC-EARTH3-VEG","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4914",1
"IPSL-CM6A-LR","ssp5_8_5/IPSL-CM6A-LR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.5271",1
"EC-EARTH3","ssp5_8_5/EC-EARTH3","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.4912",1
"MIROC-ES2H","historical/MIROC-ES2H","historical","https://doi.org/10.22033/ESGF/CMIP6.5601",0
"CAMS-CSM1-0","historical/CAMS-CSM1-0","historical","https://doi.org/10.22033/ESGF/CMIP6.9754",1
"GISS-E2-1-G","historical/GISS-E2-1-G","historical","https://doi.org/10.22033/ESGF/CMIP6.7127",0
"GISS-E2-1-H","historical/GISS-E2-1-H","historical","https://doi.org/10.22033/ESGF/CMIP6.7128",0
"IITM-ESM","ssp3_7_0/IITM-ESM","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.44",1
"CAMS-CSM1-0","ssp1_1_9/CAMS-CSM1-0","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.11045",0
"CAMS-CSM1-0","ssp3_7_0/CAMS-CSM1-0","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.11048",1
"CAMS-CSM1-0","ssp1_2_6/CAMS-CSM1-0","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.11046",1
"IITM-ESM","ssp1_2_6/IITM-ESM","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.44",1
"CAMS-CSM1-0","ssp2_4_5/CAMS-CSM1-0","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.11047",1
"CAMS-CSM1-0","ssp5_8_5/CAMS-CSM1-0","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.11052",1
"IITM-ESM","ssp2_4_5/IITM-ESM","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.44",1
"IITM-ESM","ssp5_8_5/IITM-ESM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.44",1
"UKESM1-0-LL","ssp1_1_9/UKESM1-0-LL","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.6329",0
"UKESM1-0-LL","ssp4_3_4/UKESM1-0-LL","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.6389",0
"HADGEM3-GC31-LL","ssp1_2_6/HADGEM3-GC31-LL","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.10849",1
"HADGEM3-GC31-MM","ssp1_2_6/HADGEM3-GC31-MM","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.10850",0
"KACE-1-0-G","ssp1_2_6/KACE-1-0-G","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.8432",1
"UKESM1-0-LL","ssp1_2_6/UKESM1-0-LL","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.6333",1
"HADGEM3-GC31-LL","ssp2_4_5/HADGEM3-GC31-LL","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.10851",1
"KACE-1-0-G","ssp2_4_5/KACE-1-0-G","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.8435",1
"UKESM1-0-LL","ssp2_4_5/UKESM1-0-LL","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.6339",1
"KACE-1-0-G","ssp3_7_0/KACE-1-0-G","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.8437",1
"UKESM1-0-LL","ssp3_7_0/UKESM1-0-LL","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.6347",1
"KACE-1-0-G","ssp5_8_5/KACE-1-0-G","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.8456",1
"HADGEM3-GC31-LL","ssp5_8_5/HADGEM3-GC31-LL","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.10901",1
"HADGEM3-GC31-MM","ssp5_8_5/HADGEM3-GC31-MM","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.10902",0
"UKESM1-0-LL","ssp5_8_5/UKESM1-0-LL","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.6405",1
"GISS-E2-1-G","ssp1_1_9/GISS-E2-1-G","ssp1_1_9","https://doi.org/10.22033/ESGF/CMIP6.7407",0
"BCC-CSM2-MR","ssp1_2_6/BCC-CSM2-MR","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.3028",1
"BCC-CSM2-MR","ssp2_4_5/BCC-CSM2-MR","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.3030",1
"NESM3","ssp2_4_5/NESM3","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.8781",1
"BCC-CSM2-MR","ssp3_7_0/BCC-CSM2-MR","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.3035",1
"EC-EARTH3","ssp4_3_4/EC-EARTH3","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.4899",0
"BCC-CSM2-MR","ssp5_8_5/BCC-CSM2-MR","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.3050",1
"INM-CM5-0","ssp5_8_5/INM-CM5-0","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.12338",1
"NESM3","ssp5_8_5/NESM3","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.8790",1
"CESM2-WACCM","ssp2_4_5/CESM2-WACCM","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.10101",1
"FGOALS-F3-L","ssp1_2_6/FGOALS-F3-L","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.3464",0
"NESM3","ssp1_2_6/NESM3","ssp1_2_6","https://doi.org/10.22033/ESGF/CMIP6.8780",1
"FGOALS-F3-L","ssp2_4_5/FGOALS-F3-L","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.3468",0
"GISS-E2-1-G","ssp2_4_5/GISS-E2-1-G","ssp2_4_5","https://doi.org/10.22033/ESGF/CMIP6.7415",0
"FGOALS-F3-L","ssp3_7_0/FGOALS-F3-L","ssp3_7_0","https://doi.org/10.22033/ESGF/CMIP6.3479",0
"GISS-E2-1-G","ssp4_3_4/GISS-E2-1-G","ssp4_3_4","https://doi.org/10.22033/ESGF/CMIP6.7449",0
"GISS-E2-1-G","ssp4_6_0/GISS-E2-1-G","ssp4_6_0","https://doi.org/10.22033/ESGF/CMIP6.7452",0
"FGOALS-F3-L","ssp5_8_5/FGOALS-F3-L","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.3502",0
"GISS-E2-1-G","ssp5_8_5/GISS-E2-1-G","ssp5_8_5","https://doi.org/10.22033/ESGF/CMIP6.7460",0
"UKESM1-0-LL","ssp5_3_4os/UKESM1-0-LL","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.6397",0
"EC-EARTH3","ssp5_3_4os/EC-EARTH3","ssp5_3_4os","https://doi.org/10.22033/ESGF/CMIP6.4907",0
